FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;363619;ACDC Doble;3; $ 44.400,00 
;;ACDC Simple ;5; $ 59.000,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;3; $ 6.300,00 
;;Alma Fuerte ;5; $ 60.000,00 
;;Andes Rubia;5; $ 15.000,00 
;;Aros de Cebolla 6 unid.;; $ 19.200,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 15.200,00 
;;Beatle Doble 220g ;9; $ 127.800,00 
;;Beatle Simple 110g ;6; $ 67.200,00 
;;BIZARRAP Session #1 ;3; $ 27.900,00 
;;BIZZARAP session #2;1; $ 9.300,00 
;;cambio x dip cheddar;; $ 2.700,00 
;;Cerveza Andes IPA;2; $ 6.000,00 
;;Cerveza Andes Roja;7; $ 21.000,00 
;;Charly  Triple 330g;2; $ 33.600,00 
;;Charly Doble 220g ;5; $ 67.500,00 
;;Charly Simple 110g;4; $ 42.000,00 
;;Clasic Doble 220g;33; $ 425.700,00 
;;Clasic Simple 110g ;22; $ 217.800,00 
;;Clasic Triple 330g;7; $ 113.400,00 
;;COCA 500 ml;6; $ 14.400,00 
;;Coca Cola 1.5 Lts;10; $ 43.000,00 
;;dip de cheddar;; $ 2.700,00 
;;Eminem;1; $ 15.700,00 
;;ENVIO;; $ 133.900,00 
;;franui Chocolate con leche + chocolate blanco;2; $ 18.000,00 
;;Freestyle;3; $ 57.600,00 
;;Fried Onion Doble 220g;2; $ 28.800,00 
;;Gorillaz Doble;2; $ 30.600,00 
;;Gorillaz simple ;3; $ 36.900,00 
;;Gorillaz Triple;1; $ 18.600,00 
;;HC doble;15; $ 234.000,00 
;;HC TRIPLE;5; $ 94.500,00 
;;Heineken 464ml;14; $ 51.800,00 
;;KISS DOBLE;6; $ 87.000,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LADY GAGA;1; $ 9.400,00 
;;LEVITE 500ml;3; $ 6.300,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;MADONNA veggie;2; $ 21.800,00 
;;Mala Fama Doble 220g;18; $ 280.800,00 
;;Mala Fama Simple 110g ;8; $ 100.800,00 
;;Mala Fama Triple 330g ;3; $ 56.700,00 
;;NUGGETS X12 + PAPAS + BBQ;9; $ 72.000,00 
;;Nugget's X6 ;; $ 30.800,00 
;;Papas con Cheddar;4; $ 58.400,00 
;;PAPAS QUEEN;7; $ 54.600,00 
;;Papas Queen ;; $ 67.200,00 
;;PATRICIO REY DOBLE;1; $ 15.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;10; $ 242.000,00 
;;PROMO 2-- 2 x Charly doble ;16; $ 337.600,00 
;;Red Hot DOBLE;8; $ 115.200,00 
;;Red Hot Simple 110g ;2; $ 22.800,00 
;;Red Hot Triple 330g ;2; $ 35.400,00 
;;RESIDENTE DOBLE;9; $ 140.400,00 
;;RESIDENTE SIMPLE;3; $ 37.800,00 
;;RIHANNA ;5; $ 47.000,00 
;;Rolling Stone Doble 220g;2; $ 27.800,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;SPRITE 500 ml ;3; $ 7.200,00 
;;techno Chicken;3; $ 28.500,00 
;;Duko Simple;4; $ 46.800,00 
;;Duko Doble;11; $ 161.700,00 
;;Duko Triple 330g ;9; $ 162.000,00 
;;Beatle Triple ;3; $ 52.500,00 
;;FANTA 500 ml;1; $ 2.400,00 
;;Porcion de Faina;; $ 3.000,00 
;;Lata Schweppes Pomelo Zero;1; $ 2.400,00 
;;Porcion Extra de Papas Medianas;; $ 12.000,00 
;;John Lennon Mediana;4; $ 64.000,00 
;;John Lennon XL;1; $ 22.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;3; $ 57.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Pollo;1; $ 2.500,00 
;;Empanada de Jamon y Queso;13; $ 32.500,00 
;;6 empanadas;3; $ 39.000,00 
;;3 empanadas;1; $ 7.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
4/1/2026;363620;2 tostados CLASSIC;1; $ 8.300,00 
;;ACDC Doble;4; $ 59.200,00 
;;ACDC Simple ;2; $ 23.600,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;1; $ 2.100,00 
;;AMERICANO + levite;1; $ 6.000,00 
;;Andes Rubia;5; $ 15.000,00 
;;Aros de Cebolla 6 unid.;; $ 38.400,00 
;;Beatle Doble 220g ;9; $ 127.800,00 
;;Beatle Simple 110g ;3; $ 33.600,00 
;;BIZARRAP Session #1 ;2; $ 18.600,00 
;;BIZZARAP session #2;4; $ 37.200,00 
;;cambio x dip cheddar;; $ 2.700,00 
;;Charly Doble 220g ;7; $ 94.500,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;30; $ 387.000,00 
;;Clasic Simple 110g ;18; $ 178.200,00 
;;Clasic Triple 330g;5; $ 81.000,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;11; $ 47.300,00 
;;dip de cheddar;; $ 18.900,00 
;;Eminem;5; $ 78.500,00 
;;ENVIO;; $ 109.200,00 
;;franui Chocolate con leche + chocolate blanco;2; $ 18.000,00 
;;Freestyle;6; $ 115.200,00 
;;Fried Onion Doble 220g;1; $ 14.400,00 
;;Gorillaz Doble;3; $ 45.900,00 
;;Gorillaz simple ;4; $ 49.200,00 
;;Gorillaz Triple;1; $ 18.600,00 
;;HC doble;7; $ 109.200,00 
;;HC simple;2; $ 25.200,00 
;;HC TRIPLE;2; $ 37.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );4; $ 26.800,00 
;;KISS SIMPLE;2; $ 23.000,00 
;;LADY GAGA;1; $ 9.400,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;MADONNA veggie;1; $ 10.900,00 
;;Mala Fama Doble 220g;12; $ 187.200,00 
