FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;Duko Doble;4; $ 58.800,00 
;;Duko Triple 330g ;1; $ 18.000,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson XL;2; $ 48.000,00 
;;Pink Floyd XL;3; $ 75.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;6; $ 15.000,00 
;;Empanada de Pollo;4; $ 10.000,00 
;;Empanada de Jamon y Queso;1; $ 2.500,00 
;;Elvis Presley MEDIANA;1; $ 27.000,00 
;;6 empanadas;2; $ 26.000,00 
;;12 empanadas;1; $ 25.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
20/1/2026;374634;AMERICANO + levite;1; $ 6.000,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 15.200,00 
;;Beatle Doble 220g ;2; $ 28.400,00 
;;Bob Marley Doble ;1; $ 13.700,00 
;;Clasic Doble 220g;5; $ 64.500,00 
;;Clasic Simple 110g ;1; $ 9.900,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;dip de cheddar;; $ 2.700,00 
;;ENVIO;; $ 16.900,00 
;;FERNET ;1; $ 7.000,00 
;;Fried Onion Doble 220g;1; $ 14.400,00 
;;HC doble;2; $ 31.200,00 
;;HC simple;2; $ 25.200,00 
;;LADY GAGA;1; $ 9.400,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;1; $ 15.600,00 
;;Mala Fama Simple 110g ;1; $ 12.600,00 
;;MESA;;
;;Nugget's X6 ;; $ 5.600,00 
;;Papas con Cheddar;; $ 4.000,00 
;;Papas Queen ;; $ 16.800,00 
;;RIHANNA ;2; $ 18.800,00 
;;Duko Doble;3; $ 44.100,00 
;;Duko Triple 330g ;1; $ 18.000,00 
;;NIRVANA  ;1; $ 13.400,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;374635;2 tostados AMERICANOS;2; $ 17.000,00 
;;ACDC Doble;2; $ 29.600,00 
;;Alma Fuerte ;2; $ 24.000,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 12.800,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;Beatle Simple 110g ;2; $ 22.400,00 
;;BIZARRAP Session #1 ;2; $ 18.600,00 
;;BIZZARAP session #2;3; $ 27.900,00 
;;Bob Marley Doble ;1; $ 13.700,00 
;;Charly  Triple 330g;1; $ 16.800,00 
;;Charly Doble 220g ;6; $ 81.000,00 
;;Charly Simple 110g;1; $ 10.500,00 
;;Clasic Doble 220g;22; $ 283.800,00 
;;Clasic Simple 110g ;5; $ 49.500,00 
;;Clasic Triple 330g;1; $ 16.200,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;4; $ 17.200,00 
;;dip de cheddar;; $ 8.100,00 
;;ENVIO;; $ 52.000,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 38.400,00 
;;Gorillaz simple ;1; $ 12.300,00 
;;HC doble;5; $ 78.000,00 
;;HIP HOP;1; $ 20.500,00 
;;KISS SIMPLE;2; $ 23.000,00 
;;Mala Fama Doble 220g;2; $ 31.200,00 
;;Mala Fama Simple 110g ;8; $ 100.800,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 16.000,00 
;;Nugget's X6 ;; $ 25.200,00 
;;Papas con Cheddar;; $ 4.000,00 
;;PAPAS QUEEN;1; $ 7.800,00 
;;Papas Queen ;; $ 22.400,00 
;;PROMO 1 -- 4 X Classic simple;8; $ 193.600,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 105.500,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;RESIDENTE DOBLE;2; $ 31.200,00 
;;Rolling Stone Doble 220g;3; $ 41.700,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;4; $ 58.800,00 
;;NIRVANA 2;1; $ 13.500,00 
;;Porcion Extra de Papas Medianas;; $ 6.000,00 
21/1/2026;374636;2 tostados CLASSIC;2; $ 16.600,00 
;;ACDC Doble;1; $ 14.800,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;2; $ 24.000,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;10; $ 129.000,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 6.500,00 
;;LADY GAGA;1; $ 9.400,00 
;;Mala Fama Simple 110g ;1; $ 12.600,00 
;;MESA;;
;;Papas con Cheddar;; $ 2.000,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 63.300,00 
;;Red Hot Simple 110g ;1; $ 11.400,00 
;;RIHANNA ;2; $ 18.800,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;NIRVANA  ;1; $ 13.400,00 
;374637;ACDC Doble;4; $ 62.000,00 
;;ACDC Simple ;2; $ 25.000,00 
;;ACDC Triple;1; $ 18.800,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 20.400,00 
;;Beatle Doble 220g ;5; $ 74.500,00 
;;Beatle Simple 110g ;2; $ 23.800,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;BIZZARAP session #2;1; $ 9.900,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;CHOCOTORTA;4; $ 16.800,00 
;;Clasic Doble 220g;12; $ 162.000,00 
;;Clasic Simple 110g ;6; $ 63.000,00 
;;CLASICO + levite;1; $ 6.400,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 5.400,00 
;;ENVIO;; $ 63.700,00 
;;franui Chocolate semiamargo + chocolate blanco;2; $ 18.000,00 
;;Freestyle;3; $ 61.200,00 
;;Gorillaz Doble;2; $ 32.000,00 
;;Gorillaz simple ;2; $ 26.000,00 
;;Gorillaz Triple;1; $ 19.300,00 
;;HC doble;4; $ 65.600,00 
;;HC simple;1; $ 13.400,00 
;;HC TRIPLE;1; $ 19.700,00 
;;Heineken 464ml;1; $ 3.700,00 
;;HIP HOP;1; $ 21.800,00 
;;KISS SIMPLE;2; $ 24.400,00 
;;LADY GAGA;1; $ 9.900,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Mala Fama Doble 220g;4; $ 65.600,00 
;;Mala Fama Simple 110g ;5; $ 67.000,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.500,00 
;;Nugget's X6 ;; $ 25.200,00 
;;Papas con Cheddar;3; $ 28.800,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;Papas Queen ;; $ 21.000,00 
;;PATRICIO REY DOBLE;1; $ 15.700,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;4; $ 102.400,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 112.000,00 
;;Red Hot DOBLE;1; $ 15.100,00 
;;RESIDENTE DOBLE;2; $ 32.800,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;Rolling Stone Simple 110g ;2; $ 23.200,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;TIRAMISU;2; $ 8.400,00 
;;Duko Simple;3; $ 37.200,00 
;;Duko Doble;4; $ 61.600,00 
;;Beatle Triple ;1; $ 18.200,00 
;;Porcion de Faina;; $ 9.000,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;3 empanadas;1; $ 7.000,00 
22/1/2026;374638;ACDC Doble;4; $ 62.000,00 
;;Agua 500cc;1; $ 2.100,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;2; $ 27.000,00 
;;Clasic Simple 110g ;2; $ 21.000,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 2.700,00 
;;ENVIO;; $ 11.700,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;1; $ 20.400,00 
;;KISS DOBLE;1; $ 15.200,00 
;;LADY GAGA;1; $ 9.900,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Papas con Cheddar;1; $ 8.200,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 67.200,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;RIHANNA ;3; $ 29.700,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Doble;1; $ 15.400,00 
;374639;2 tostados CLASSIC;1; $ 9.000,00 
;;ACDC Doble;1; $ 15.500,00 
;;Aros de Cebolla 6 unid.;; $ 6.800,00 
;;Beatle Doble 220g ;5; $ 74.500,00 
;;BIZARRAP Session #1 ;3; $ 29.700,00 
;;BIZZARAP session #2;2; $ 19.800,00 
;;Cerveza Andes IPA;2; $ 6.000,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;4; $ 56.400,00 
;;Clasic Doble 220g;16; $ 216.000,00 
;;Clasic Simple 110g ;12; $ 126.000,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;9; $ 38.700,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 2.700,00 
;;ENVIO;; $ 42.900,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 40.800,00 
;;Fried Onion Simple 110g ;2; $ 24.200,00 
;;Gorillaz simple ;1; $ 13.000,00 
;;HC doble;2; $ 32.800,00 
;;HC simple;2; $ 26.800,00 
;;Heineken 464ml;4; $ 14.800,00 
;;HIP HOP;1; $ 21.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );3; $ 21.300,00 
;;KISS DOBLE;1; $ 15.200,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATA Coca-Cola zero;1; $ 2.500,00 
;;LATON HEINEKEN;4; $ 20.000,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;MADONNA veggie DOBLE;1; $ 14.500,00 
;;Mala Fama Doble 220g;3; $ 49.200,00 
;;Mala Fama Simple 110g ;1; $ 13.400,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.500,00 
;;Nugget's X6 ;; $ 8.400,00 
;;Papas con Cheddar;2; $ 35.300,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;2; $ 16.600,00 
;;Papas Queen ;; $ 24.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 128.000,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 112.000,00 
;;Red Hot DOBLE;6; $ 90.600,00 
;;Red Hot Simple 110g ;1; $ 12.100,00 
;;Red Hot Triple 330g ;2; $ 36.800,00 
;;RESIDENTE DOBLE;1; $ 16.400,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Duko Simple;7; $ 86.800,00 
;;Duko Doble;8; $ 123.200,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;;Beatle Triple ;1; $ 18.200,00 
;;NIRVANA  ;2; $ 28.400,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Creedence XL;1; $ 27.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;2; $ 14.000,00 
23/1/2026;374640;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.100,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;Beatle Simple 110g ;2; $ 23.800,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Clasic Doble 220g;3; $ 40.500,00 
;;Clasic Simple 110g ;6; $ 63.000,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;ENVIO;; $ 19.500,00 
;;HC doble;1; $ 16.400,00 
;;KISS DOBLE;1; $ 15.200,00 
;;kiss triple;1; $ 18.500,00 
;;LADY GAGA;1; $ 9.900,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Nugget's X6 ;; $ 8.400,00 
;;Papas con Cheddar;; $ 6.300,00 
;;Papas Queen ;; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;1; $ 25.600,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 67.200,00 
;;RESIDENTE DOBLE;1; $ 16.400,00 
;;Techno Chicken DOBLE ;1; $ 13.000,00 
;;Duko Simple;1; $ 12.400,00 
;;Duko Doble;3; $ 46.200,00 
;;NIRVANA  ;1; $ 14.200,00 
;;NIRVANA 2;1; $ 14.300,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;375640;ACDC Doble;3; $ 46.500,00 
;;ACDC Simple ;2; $ 25.000,00 
;;ACDC Triple;1; $ 18.800,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;3; $ 38.100,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 13.600,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 16.200,00 
;;Beatle Doble 220g ;5; $ 74.500,00 
;;Beatle Simple 110g ;4; $ 47.600,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;BIZZARAP session #2;4; $ 39.600,00 
;;CAMPARI;1; $ 7.000,00 
;;Cerveza Andes IPA;4; $ 12.000,00 
;;Cerveza Andes Roja;3; $ 9.000,00 
;;Charly Doble 220g ;7; $ 98.700,00 
;;Charly Simple 110g;9; $ 99.900,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;37; $ 499.500,00 
;;Clasic Simple 110g ;16; $ 168.000,00 
;;Clasic Triple 330g;6; $ 100.800,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;20; $ 86.000,00 
;;Coca Cola Zero 1.5 Lts;3; $ 12.900,00 
;;dip de cheddar;; $ 18.900,00 
;;ENVIO;; $ 96.200,00 
;;FERNET ;2; $ 14.000,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;5; $ 102.000,00 
;;Fried Onion Doble 220g;1; $ 15.100,00 
;;Gorillaz simple ;1; $ 13.000,00 
;;Gorillaz Triple;1; $ 19.300,00 
;;HC doble;9; $ 147.600,00 
;;HC TRIPLE;4; $ 78.800,00 
;;Heineken 464ml;8; $ 29.600,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS DOBLE;4; $ 60.800,00 
;;KISS SIMPLE;1; $ 12.200,00 
;;kiss triple;1; $ 18.500,00 
;;LADY GAGA;1; $ 9.900,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Doble 220g;10; $ 164.000,00 
;;Mala Fama Simple 110g ;4; $ 53.600,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;NUGGETS X12 + PAPAS + BBQ;4; $ 34.000,00 
;;Nugget's X6 ;; $ 50.400,00 
;;Papas con Cheddar;4; $ 81.100,00 
;;Papas Mercury;2; $ 23.000,00 
;;PAPAS QUEEN;7; $ 58.100,00 
;;Papas Queen ;; $ 69.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;11; $ 281.600,00 
;;PROMO 2-- 2 x Charly doble ;11; $ 246.400,00 
;;Red Hot DOBLE;6; $ 90.600,00 
;;Red Hot Simple 110g ;2; $ 24.200,00 
;;RESIDENTE DOBLE;6; $ 98.400,00 
;;RESIDENTE SIMPLE;4; $ 53.600,00 
;;RIHANNA ;1; $ 9.900,00 
;;Rolling Stone Simple 110g ;1; $ 11.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Simple;6; $ 74.400,00 
;;Duko Doble;16; $ 246.400,00 
;;Duko Triple 330g ;4; $ 74.800,00 
;;Beatle Triple ;2; $ 36.400,00 
;;Rolling Stone Triple;1; $ 17.900,00 
;;FANTA 500 ml;2; $ 4.800,00 
;;NIRVANA  ;2; $ 28.400,00 
;;NIRVANA 2;4; $ 57.200,00 
;;Porcion Extra de Papas Medianas;; $ 6.000,00 
;;John Lennon Mediana;7; $ 112.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Empanada de Jamon y Queso;3; $ 7.500,00 
;;Elvis Presley XL;1; $ 34.000,00 
;;6 empanadas;2; $ 26.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;1; $ 7.000,00 
24/1/2026;376640;2 tostados AMERICANOS;1; $ 9.000,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;AMERICANO + levite;1; $ 6.400,00 
;;Aros de Cebolla 6 unid.;; $ 3.400,00 
;;Beatle Simple 110g ;1; $ 11.900,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;3; $ 42.300,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;5; $ 67.500,00 
;;Clasic Triple 330g;1; $ 16.800,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 11.700,00 
;;Freestyle;1; $ 20.400,00 
;;HC doble;2; $ 32.800,00 
;;HIP HOP;1; $ 21.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;MADONNA veggie DOBLE;1; $ 14.500,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Nugget's X6 ;; $ 2.800,00 
;;Papas con Cheddar;2; $ 16.400,00 
;;PROMO 1 -- 4 X Classic simple;1; $ 25.600,00 
;;RESIDENTE DOBLE;2; $ 32.800,00 
;;RIHANNA ;5; $ 49.500,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Duko Simple;2; $ 24.800,00 
;;FANTA 500 ml;2; $ 4.800,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;376641;ACDC Doble;12; $ 186.000,00 
;;ACDC Simple ;4; $ 50.000,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;Aros de Cebolla 6 unid.;; $ 17.000,00 
;;Beatle Doble 220g ;7; $ 104.300,00 
;;Beatle Simple 110g ;5; $ 59.500,00 
;;BIZZARAP session #2;1; $ 9.900,00 
;;cambio x dip cheddar;; $ 900,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly  Triple 330g;4; $ 69.600,00 
;;Charly Doble 220g ;16; $ 225.600,00 
;;Charly Simple 110g;5; $ 55.500,00 
;;CHOCOTORTA;4; $ 16.800,00 
;;Clasic Doble 220g;21; $ 283.500,00 
;;Clasic Simple 110g ;16; $ 168.000,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;COCA 500 ml;5; $ 12.000,00 
;;Coca Cola 1.5 Lts;8; $ 34.400,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 16.200,00 
;;Eminem;3; $ 49.800,00 
;;ENVIO;; $ 111.800,00 
;;FERNET ;1; $ 7.000,00 
;;franui Chocolate con leche + chocolate blanco;3; $ 27.000,00 
;;Freestyle;4; $ 81.600,00 
;;Fried Onion Simple 110g ;1; $ 12.100,00 
;;GIN TONIC;1; $ 7.500,00 
;;Gorillaz Doble;4; $ 64.000,00 
;;HC doble;11; $ 180.400,00 
;;HC simple;4; $ 53.600,00 
;;HC TRIPLE;2; $ 39.400,00 
;;Heineken 464ml;2; $ 7.400,00 
;;HIP HOP;1; $ 21.800,00 
;;KISS DOBLE;4; $ 60.800,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATA SPRITE ;1; $ 2.500,00 
;;LATON HEINEKEN;4; $ 20.000,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;MADONNA veggie;2; $ 23.200,00 
;;Mala Fama Doble 220g;11; $ 180.400,00 
;;Mala Fama Simple 110g ;4; $ 53.600,00 
;;Mala Fama Triple 330g ;3; $ 59.100,00 
;;NUGGETS X12 + PAPAS + BBQ;4; $ 34.000,00 
;;Nugget's X6 ;; $ 50.400,00 
;;Papas con Cheddar;2; $ 39.500,00 
;;Papas Mercury;2; $ 23.000,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;Papas Queen ;; $ 45.000,00 
;;PROMO 1 -- 4 X Classic simple;7; $ 179.200,00 
;;PROMO 2-- 2 x Charly doble ;17; $ 380.800,00 
;;Red Hot DOBLE;2; $ 30.200,00 
;;Red Hot Simple 110g ;5; $ 60.500,00 
;;Red Hot Triple 330g ;1; $ 18.400,00 
;;RESIDENTE DOBLE;3; $ 49.200,00 
;;RESIDENTE SIMPLE;3; $ 40.200,00 
;;RIHANNA ;3; $ 29.700,00 
;;Rolling Stone Doble 220g;3; $ 43.800,00 
;;Rolling Stone Simple 110g ;2; $ 23.200,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;2; $ 4.800,00 
;;techno Chicken;2; $ 20.200,00 
;;Duko Simple;5; $ 62.000,00 
;;Duko Doble;12; $ 184.800,00 
;;Duko Triple 330g ;2; $ 37.400,00 
;;Beatle Triple ;1; $ 18.200,00 
;;Porcion Extra de Papas Medianas;; $ 12.000,00 
;;John Lennon Mediana;8; $ 128.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;Empanada de Jamon y Queso;6; $ 15.000,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;2; $ 50.000,00 
;;3 empanadas;4; $ 28.000,00 
25/1/2026;377641;ACDC Doble;7; $ 108.500,00 
;;Agua 500cc;3; $ 6.300,00 
;;Aros de Cebolla 6 unid.;; $ 20.400,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 16.200,00 
;;BIZARRAP Session #1 ;3; $ 29.700,00 
;;cambio x dip cheddar;; $ 3.600,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly Doble 220g ;6; $ 84.600,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;19; $ 256.500,00 
;;Clasic Simple 110g ;27; $ 283.500,00 
;;Clasic Triple 330g;6; $ 100.800,00 
;;Coca Cola 1.5 Lts;9; $ 38.700,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 8.100,00 
;;Eminem;2; $ 33.200,00 
;;ENVIO;; $ 101.400,00 
;;Freestyle;4; $ 81.600,00 
;;Fried Onion Doble 220g;3; $ 45.300,00 
;;Fried Onion Simple 110g ;1; $ 12.100,00 
;;Gorillaz Doble;1; $ 16.000,00 
;;Gorillaz simple ;2; $ 26.000,00 
;;Gorillaz Triple;2; $ 38.600,00 
;;HC doble;9; $ 147.600,00 
;;HC TRIPLE;2; $ 39.400,00 
;;HIP HOP;5; $ 109.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS DOBLE;2; $ 30.400,00 
;;KISS SIMPLE;1; $ 12.200,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATA SPRITE ;1; $ 2.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;Mala Fama Doble 220g;11; $ 180.400,00 
;;Mala Fama Simple 110g ;5; $ 67.000,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;NUGGETS X12 + PAPAS + BBQ;13; $ 110.500,00 
;;Nugget's X6 ;; $ 16.800,00 
;;Papas con Cheddar;2; $ 52.100,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;12; $ 99.600,00 
;;Papas Queen ;; $ 54.000,00 
;;PATRICIO REY DOBLE;3; $ 47.100,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 128.000,00 
;;PROMO 2-- 2 x Charly doble ;14; $ 313.600,00 
;;Red Hot Simple 110g ;5; $ 60.500,00 
;;RESIDENTE DOBLE;3; $ 49.200,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Rolling Stone Simple 110g ;1; $ 11.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Simple;9; $ 111.600,00 
;;Duko Doble;9; $ 138.600,00 
;;Duko Triple 330g ;2; $ 37.400,00 
;;FANTA 500 ml;1; $ 2.400,00 
;;Lata Schweppes Pomelo Zero;1; $ 2.400,00 
;;NIRVANA 2;3; $ 42.900,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Creedence Mediana ;3; $ 63.000,00 
;;Empanada de Carne;14; $ 35.000,00 
;;Empanada de Pollo;2; $ 5.000,00 
;;Empanada de Jamon y Queso;4; $ 10.000,00 
;;12 empanadas;1; $ 25.000,00 
26/1/2026;378641;ACDC Doble;2; $ 31.000,00 
;;ACDC Simple ;1; $ 12.500,00 
;;ACDC Triple;1; $ 18.800,00 
;;Agua 500cc;1; $ 2.100,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 6.800,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
