AñoCaja;2026;;;;;;;;;;;;;;;;;;;;;;;;;;
MesCaja;(Todas);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;CuentaDescripcion;Valores;;;;;;;;;;;;;;;;;;;
;;;;;;;Cobro a Clientes;;;Cobro a Clientes x Efectivo;;;Cobro a Clientes x Efectivo PYA;;;Cobro a Clientes x Mercado Pago;;;Cobro a Clientes x Pago OnLine PYA;;;Pago delivery;;;Cobro a Clientes x Posnet;;
FechaCaja;NroCaja;Turno;ImporteApertura;ImporteCierre;Diferencias;ImporteEnCajaCierre;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado
20/1/2026;374634;Mediodía;0;384171;160;182000;;;;7;3;$ 182.160,00;;;;6;3;$ 217.200,00;0;1;$ 12.811,00;0;0;-$ 28.000,00;;;
;374635;Noche;0;1504278;-890;835930;;;;27;11;$ 835.040,00;;;;14;3;$ 546.300,00;0;4;$ 74.738,00;;;;0;2;$ 48.200,00
21/1/2026;374636;Mediodía;0;342589;-740;165720;;;;2;7;$ 164.980,00;;;;3;8;$ 176.500,00;0;1;$ 18.109,00;0;0;-$ 17.000,00;;;
;374637;Noche;0;1638720;0;706700;;;;21;19;$ 752.330,00;;;;28;1;$ 932.200,00;;;;;;;;;
22/1/2026;374638;Mediodía;0;545920;-325;265500;;;;4;8;$ 212.475,00;0;1;$ 52.700,00;5;2;$ 176.000,00;0;3;$ 104.745,00;;;;;;
;374639;Noche;0;2017887;-1390;884500;;;;18;17;$ 883.110,00;;;;16;11;$ 762.950,00;0;6;$ 192.027,00;;;;0;5;$ 179.800,00
23/1/2026;374640;Mediodía;0;510970;570;250800;;;;6;3;$ 251.370,00;;;;9;1;$ 259.600,00;;;;;;;;;
;375640;Noche;0;4558572;25610;2057500;;;;35;46;$ 2.083.110,00;;;;38;23;$ 2.049.670,00;0;9;$ 327.892,00;;;;0;4;$ 97.900,00
24/1/2026;376640;Mediodía;0;475080;180;267300;;;;6;5;$ 267.480,00;;;;3;1;$ 151.200,00;;;;;;;0;1;$ 56.400,00
;376641;Noche;0;4113217;4540;1999700;;;;53;20;$ 2.004.240,00;;;;36;28;$ 1.880.990,00;0;5;$ 152.487,00;;;;0;3;$ 75.500,00
25/1/2026;377641;Noche;0;3590918;-23160;1903700;;;;37;38;$ 1.880.540,00;;;;29;18;$ 1.438.570,00;0;1;$ 183.308,00;;;;0;3;$ 88.500,00
26/1/2026;378641;Noche;0;1567397;499;865660;;;;19;15;$ 834.330,00;0;1;$ 31.829,00;19;5;$ 511.200,00;0;3;$ 60.338,00;;;;0;4;$ 129.700,00
27/1/2026;378642;Mediodía;0;272730;30;163500;;;;4;5;$ 163.530,00;;;;4;1;$ 67.800,00;;;;;;;0;1;$ 41.400,00
;378643;Noche;0;1764520;219;931200;;;;13;21;$ 888.290,00;0;1;$ 43.129,00;15;9;$ 589.500,00;0;5;$ 150.601,00;;;;0;2;$ 93.000,00
